ZIP,15-24,25-44,45-64,65+
ZCTA5 00982,1.1,24.5,34.6,39.8
ZCTA5 00983,2.6,29,31.5,36.9
ZCTA5 00985,1.2,24.1,35.4,39.3
ZCTA5 00987,0.9,29.1,39.8,30.2
ZCTA5 01001,1.3,26.1,39,33.6
ZCTA5 01002,22.1,25.3,27.2,25.5
ZCTA5 01003,57.1,0,33.3,9.5
ZCTA5 01005,0.9,16.8,50.9,31.4
ZCTA5 01007,2.6,25.1,47.6,24.7
ZCTA5 01008,0.4,22,43.5,34.1
ZCTA5 01009,0,32.5,36.8,30.7
ZCTA5 01010,0,21.1,45.7,33.2
ZCTA5 01011,0.4,23,47.9,28.7
ZCTA5 01012,0,21.7,41.5,36.8
ZCTA5 01013,3,36.4,37,23.5
ZCTA5 01020,0.6,27.9,39.4,32.1
ZCTA5 01022,0,30.8,28.8,40.5
ZCTA5 01026,1.1,19,44.4,35.5
ZCTA5 01027,1.2,29,41.8,28
ZCTA5 01028,1,22.4,41.4,35.2
ZCTA5 01029,0,25.6,51.3,23.1
ZCTA5 01030,1.9,23.2,46.9,28.1
ZCTA5 01031,2.6,24.6,46.4,26.4
ZCTA5 01032,0,7.7,73.1,19.2
ZCTA5 01033,2,23.5,46,28.6
ZCTA5 01034,0.7,23.9,44,31.5
ZCTA5 01035,0,26.5,39.4,34.1
ZCTA5 01036,0,16.2,47.3,36.6
ZCTA5 01037,0,17.6,50,32.4
ZCTA5 01038,1.1,23.5,42.5,32.9
ZCTA5 01039,0,14.4,58,27.6
ZCTA5 01040,3.7,35.9,36.9,23.5
ZCTA5 01050,5.8,22.8,44.1,27.3
ZCTA5 01053,6,12.2,56.1,25.7
ZCTA5 01054,1.4,22.6,39.2,36.8
ZCTA5 01056,1,25.3,42.5,31.2
ZCTA5 01057,1.9,19.6,48.7,29.8
ZCTA5 01060,5,35,36.1,24
ZCTA5 01062,0.6,26.3,41.4,31.7
ZCTA5 01063,-,-,-,-
ZCTA5 01066,0,0,0,100
ZCTA5 01068,1.3,17.3,57.1,24.3
ZCTA5 01069,4,21.6,45.9,28.6
ZCTA5 01070,1,17.6,41.6,39.9
ZCTA5 01071,0.6,25.7,49.6,24.1
ZCTA5 01072,0.6,22.2,46.2,31
