ZIP,15-24,25-44,45-64,65+
ZCTA5 14755,2.5,28,41.9,27.6
ZCTA5 14756,0,0,35.7,64.3
ZCTA5 14757,0.8,24.6,37.1,37.5
ZCTA5 14760,4.9,27.1,39.8,28.2
ZCTA5 14767,4.3,26.2,43.1,26.4
ZCTA5 14769,0,28.1,45.8,26
ZCTA5 14770,0.7,28,36.9,34.4
ZCTA5 14772,1.1,31.9,41.1,25.9
ZCTA5 14774,0,43.8,43.8,12.5
ZCTA5 14775,0.5,31.5,41.4,26.6
ZCTA5 14777,2.7,20.1,47.5,29.7
ZCTA5 14778,-,-,-,-
ZCTA5 14779,5.6,30.3,38,26.1
ZCTA5 14781,1.6,26,40.6,31.8
ZCTA5 14782,1.9,32,38,28.1
ZCTA5 14783,0,17.3,62.5,20.2
ZCTA5 14784,3.8,27.7,39.2,29.2
ZCTA5 14787,0,22,42.4,35.5
ZCTA5 14788,0,0,100,0
ZCTA5 14801,3.4,29.3,40.9,26.3
ZCTA5 14802,34.9,26.5,18.2,20.4
ZCTA5 14803,6.7,25.7,42.1,25.5
ZCTA5 14804,2.2,27.3,43.1,27.5
ZCTA5 14805,3.9,25.1,38.5,32.6
ZCTA5 14806,1.8,24.3,47.4,26.6
ZCTA5 14807,3.3,30.5,40.5,25.8
ZCTA5 14808,0,28.9,43.1,28
ZCTA5 14809,2.6,25,42.2,30.3
ZCTA5 14810,2.8,24.3,42.9,30
ZCTA5 14812,0.2,36.7,40.3,22.9
ZCTA5 14813,2.1,29,35.7,33.1
ZCTA5 14814,5.3,34.3,34.1,26.4
ZCTA5 14815,1.7,22.4,40.1,35.9
ZCTA5 14816,0,35.8,38.2,26
ZCTA5 14817,10.3,38.6,33.7,17.5
ZCTA5 14818,3.5,13.1,43.3,40.1
ZCTA5 14819,1.3,22.1,42,34.5
ZCTA5 14820,2.6,30.1,39.4,27.8
ZCTA5 14821,2,20.6,49.2,28.2
ZCTA5 14822,1.2,19.3,41,38.6
ZCTA5 14823,0.7,25.9,36.1,37.3
ZCTA5 14824,0.8,19.4,53.6,26.2
ZCTA5 14825,2.4,13.5,48.4,35.6
ZCTA5 14826,5.7,26.7,36.1,31.5
ZCTA5 14827,0,36,48,16
ZCTA5 14830,3.9,32.1,40.2,23.7
ZCTA5 14836,0.9,24.9,46.3,27.9
ZCTA5 14837,2.8,23.4,35.9,37.9
ZCTA5 14838,3.4,24.4,40.4,31.8
ZCTA5 14839,1.3,28.1,37.9,32.8
ZCTA5 14840,1.4,16.7,44,37.9
ZCTA5 14841,0,17.1,46.5,36.4
ZCTA5 14842,0,15.5,51.5,33
ZCTA5 14843,2.7,30.3,38.3,28.7
ZCTA5 14845,3.6,27,37.3,32.1
ZCTA5 14846,2.1,24.2,40.6,33
ZCTA5 14847,4.8,23.2,36.2,35.9
ZCTA5 14850,18.6,34.1,26.8,20.5
ZCTA5 14853,-,-,-,-
ZCTA5 14854,0,0,0,100
ZCTA5 14855,6,18,50.4,25.7
ZCTA5 14856,24.8,8,45.3,21.9
ZCTA5 14858,2.5,24.6,41.6,31.3
ZCTA5 14859,0,24,29.9,46.1
ZCTA5 14860,3.5,27.4,32,37.1
ZCTA5 14861,2.3,15.9,45.2,36.6
ZCTA5 14864,6.7,16.2,50.9,26.2
ZCTA5 14865,0.9,22.1,45.6,31.5
ZCTA5 14867,4.8,23,49.6,22.5
ZCTA5 14869,2.8,17.5,41.2,38.4
ZCTA5 14870,2.7,32.8,35,29.5
ZCTA5 14871,0,18,39.8,42.2
ZCTA5 14872,3,19.5,42.9,34.6
ZCTA5 14873,0.7,23.8,44.4,31
ZCTA5 14874,0,41.5,33.9,24.6
ZCTA5 14877,1.6,16.2,41.9,40.3
ZCTA5 14878,0.8,33.1,34.2,31.9
ZCTA5 14879,2,27.4,40.4,30.1
ZCTA5 14880,1.5,26.5,42.1,29.8
ZCTA5 14881,0,0,28.1,71.9
ZCTA5 14882,4,29.7,38,28.3
ZCTA5 14883,5.4,24.9,45.5,24.2
ZCTA5 14884,6.1,30.5,27.5,35.9
ZCTA5 14885,2.9,24.5,39.1,33.6
ZCTA5 14886,0.6,22.3,44.6,32.5
ZCTA5 14889,0.4,26.8,42.2,30.6
ZCTA5 14891,2.5,22.3,44,31.2
ZCTA5 14892,1.5,31.9,41.1,25.5
ZCTA5 14893,-,-,-,-
ZCTA5 14894,0.9,29.2,32.4,37.6
ZCTA5 14895,3.7,23,40,33.2
ZCTA5 14897,4.5,34.4,29,32.2
ZCTA5 14898,7.3,43,30.4,19.3
ZCTA5 14901,5.3,30.8,37.9,26
ZCTA5 14903,2.7,29.3,41.7,26.3
ZCTA5 14904,5.2,34.2,36.3,24.3
ZCTA5 14905,2.6,26.5,41,29.9
ZCTA5 15001,2.3,27.3,41.1,29.3
ZCTA5 15003,4.5,28.1,39.1,28.3
ZCTA5 15004,0,41,54.8,4.2
ZCTA5 15005,0.8,27,39.6,32.5
ZCTA5 15006,0,37.1,49.4,13.5
ZCTA5 15007,8.5,0,52.7,38.8
ZCTA5 15009,1.2,25,37.8,35.9
ZCTA5 15010,4,25.9,36.3,33.8
ZCTA5 15012,2.3,23.6,39,35.2
ZCTA5 15014,5.7,29,38.4,27
ZCTA5 15015,0,20.4,44.9,34.8
ZCTA5 15017,1.9,27.4,36,34.7
ZCTA5 15018,0,18.6,43.3,38.1
ZCTA5 15019,3,42.4,26.4,28.2
ZCTA5 15020,0,20.4,18.5,61.1
ZCTA5 15021,2.1,22.2,43.5,32.2
ZCTA5 15022,3.1,25.3,39.2,32.5
ZCTA5 15024,1,23.2,43.3,32.6
ZCTA5 15025,4.1,29.1,37.4,29.5
ZCTA5 15026,3,26.8,44,26.2
ZCTA5 15027,0,26.9,34.9,38.2
ZCTA5 15028,1.2,20.9,37.2,40.7
ZCTA5 15030,1.8,41.5,36.8,19.9
ZCTA5 15031,0,45.7,10.5,43.8
ZCTA5 15033,3.7,29.8,35.8,30.7
ZCTA5 15034,0.7,18.3,47,34
ZCTA5 15035,1.1,21.4,47.2,30.2
ZCTA5 15037,0.5,23.5,39.2,36.7
ZCTA5 15038,0,13.6,66.4,20
ZCTA5 15042,1.3,22.7,35.6,40.4
ZCTA5 15043,0,24.1,44.7,31.2
ZCTA5 15044,0.3,25.5,43.8,30.4
ZCTA5 15045,3.6,25.3,43.4,27.7
ZCTA5 15046,0.7,27.4,40.4,31.6
ZCTA5 15047,0,60.9,39.1,0
ZCTA5 15049,0,24.2,41.4,34.4
ZCTA5 15050,0,22.7,52.4,25
ZCTA5 15051,0,39.2,33.1,27.8
ZCTA5 15052,1.5,25.6,38.1,34.9
ZCTA5 15053,0,16,56,28
ZCTA5 15054,16.3,36.6,18.7,28.5
ZCTA5 15055,5.9,14.6,28.6,50.9
ZCTA5 15056,0.4,30.1,35,34.5
ZCTA5 15057,1.9,29.4,43.2,25.5
ZCTA5 15059,2.6,26.2,35.9,35.3
ZCTA5 15060,0,25.1,41.7,33.2
ZCTA5 15061,2.9,27.3,39.4,30.5
ZCTA5 15062,3.5,24.5,38,34.1
ZCTA5 15063,4.5,24.9,38.1,32.5
ZCTA5 15064,0,63.6,28,8.4
ZCTA5 15065,4.2,22.9,42.5,30.5
ZCTA5 15066,4.2,25.7,39.9,30.1
ZCTA5 15067,0.6,24.3,42,33.1
ZCTA5 15068,1.3,25.1,42,31.7
ZCTA5 15071,3.4,36.6,35.6,24.5
ZCTA5 15072,0,0,0,100
ZCTA5 15074,2,23,45.4,29.6
ZCTA5 15075,0,74.7,13.9,11.4
ZCTA5 15076,0,21.6,57.8,20.6
ZCTA5 15077,10.1,30.4,29,30.4
ZCTA5 15078,0,18.5,15.8,65.8
ZCTA5 15081,1.2,29.1,49.7,20
ZCTA5 15082,0,13.2,0,86.8
ZCTA5 15083,0.8,23.9,29,46.2
ZCTA5 15084,3.4,23.1,47.9,25.6
ZCTA5 15085,0,29,40.3,30.7
ZCTA5 15086,0,20.8,49.3,30
ZCTA5 15087,0,35.3,29.4,35.3
ZCTA5 15088,0,41.3,41.9,16.9
ZCTA5 15089,4.2,23.2,36.1,36.5
ZCTA5 15090,1.4,33.2,43.9,21.5
ZCTA5 15101,2.6,27.2,36.6,33.6
ZCTA5 15102,1,25.6,37.6,35.7
ZCTA5 15104,2.8,30.5,36.9,29.8
ZCTA5 15106,2.5,31.4,37.5,28.5
ZCTA5 15108,3.5,31.3,39.8,25.5
ZCTA5 15110,12.1,25.6,40.6,21.7
ZCTA5 15112,5.8,40.5,31.7,22.1
ZCTA5 15116,0,26.5,37.1,36.5
ZCTA5 15120,2,25.9,41.6,30.5
ZCTA5 15122,3.2,25.3,37.4,34.1
ZCTA5 15126,0.5,41.5,41,17
ZCTA5 15129,1.5,27.1,43.2,28.2
ZCTA5 15131,4.1,23.8,34.8,37.3
ZCTA5 15132,2.7,27.8,40.2,29.3
ZCTA5 15133,1.5,25.5,41,32
ZCTA5 15135,2.7,17.5,44,35.9
ZCTA5 15136,3,34.2,38.6,24.2
ZCTA5 15137,4.7,24.4,36.3,34.6
ZCTA5 15139,2,29.8,34.2,34
ZCTA5 15140,0,30.5,40.1,29.4
ZCTA5 15142,0,12.7,55.8,31.5
ZCTA5 15143,0.8,24.8,42.7,31.7
ZCTA5 15144,2.5,25.9,39.5,32.1
ZCTA5 15145,0.9,33.5,35.4,30.2
ZCTA5 15146,3.1,27.2,37.4,32.3
ZCTA5 15147,2.5,24.6,36.9,36.1
ZCTA5 15148,1.8,31.4,39.9,26.9
ZCTA5 15201,3.7,49.2,26.2,20.9
ZCTA5 15202,3.1,41.8,33.6,21.6
ZCTA5 15203,17.6,45,20.7,16.8
ZCTA5 15204,3.6,31,37.7,27.7
ZCTA5 15205,6,36.3,34,23.7
ZCTA5 15206,7,39,29.4,24.7
ZCTA5 15207,1.2,31.6,39.2,28
ZCTA5 15208,3.4,32.3,32.2,32.1
ZCTA5 15209,0.7,28.9,41.2,29.2
ZCTA5 15210,2.3,37,41.4,19.2
ZCTA5 15211,7.1,39.7,29.2,23.9
ZCTA5 15212,5.7,38.3,33.8,22.2
ZCTA5 15213,40.1,23.9,17.4,18.6
ZCTA5 15214,3.6,33.9,37.9,24.6
ZCTA5 15215,2,27.2,43.7,27.2
ZCTA5 15216,2.6,40.9,35.1,21.4
ZCTA5 15217,9.2,36.3,27.1,27.5
ZCTA5 15218,2.3,39.6,35.5,22.6
ZCTA5 15219,9.6,35.5,27.3,27.6
ZCTA5 15220,4.2,38.3,32.9,24.5
ZCTA5 15221,4.5,30.1,34.4,30.9
ZCTA5 15222,3.8,56.6,26.1,13.4
ZCTA5 15223,3.2,30.9,40,25.8
ZCTA5 15224,6.2,49.4,23.1,21.4
ZCTA5 15225,1.8,28.7,41.1,28.5
ZCTA5 15226,3,35.4,33.4,28.1
ZCTA5 15227,2.7,33.9,38.1,25.3
ZCTA5 15228,1,30.4,41,27.7
ZCTA5 15229,2.2,35.1,35.9,26.8
ZCTA5 15232,18.1,58,12.9,11
ZCTA5 15233,2.5,47.3,33.8,16.4
ZCTA5 15234,1.1,32.5,35,31.4
ZCTA5 15235,2,27.6,39.8,30.6
ZCTA5 15236,1.2,30.7,34.7,33.5
ZCTA5 15237,1.5,30.6,36.7,31.1
ZCTA5 15238,1.2,21,41.3,36.5
ZCTA5 15239,1.1,27.7,41,30.3
ZCTA5 15241,0.6,25.8,42.5,31.1
ZCTA5 15243,0.6,22.4,37.4,39.6
ZCTA5 15260,-,-,-,-
ZCTA5 15290,-,-,-,-
ZCTA5 15301,2.9,24,40.3,32.8
ZCTA5 15310,0,42,20.2,37.8
ZCTA5 15311,0,30,44.9,25.1
ZCTA5 15312,2.4,22.2,45.5,29.9
ZCTA5 15313,3.7,22.8,30.9,42.6
ZCTA5 15314,4,26.2,41.9,28
ZCTA5 15315,0,38.1,33.6,28.3
ZCTA5 15316,0,18.8,43.8,37.5
ZCTA5 15317,1.9,31.1,40.3,26.7
ZCTA5 15320,0.7,33.1,34.8,31.4
ZCTA5 15321,1.6,28.1,46.1,24.2
ZCTA5 15322,3,23,42.6,31.4
ZCTA5 15323,2.9,26.9,43.2,27
ZCTA5 15324,4.7,20.1,40.1,35.1
ZCTA5 15325,0,5.4,59.7,34.9
ZCTA5 15327,3.6,27.3,36.5,32.6
ZCTA5 15329,0.5,19,54.9,25.6
ZCTA5 15330,0.9,16.2,48.9,34.1
ZCTA5 15331,1.8,31.8,29.4,37
ZCTA5 15332,0.9,24,41,34.1
ZCTA5 15333,4,24.8,41.6,29.6
ZCTA5 15334,8.9,28.9,26.7,35.6
ZCTA5 15337,5,21.9,46.8,26.4
ZCTA5 15338,0,28.6,38.9,32.4
ZCTA5 15340,0,21,39.8,39.2
ZCTA5 15341,0,34.3,33,32.7
ZCTA5 15342,1.4,31.5,35.8,31.3
ZCTA5 15344,2.1,29.3,36.6,32
ZCTA5 15345,6.6,25.5,33.6,34.3
ZCTA5 15346,0,16.3,44.7,38.9
ZCTA5 15347,0,0,58.5,41.5
ZCTA5 15348,17.5,30.9,38.1,13.4
ZCTA5 15349,2.4,26.7,38.4,32.5
ZCTA5 15350,15.3,0,55.3,29.4
ZCTA5 15351,26.5,22.4,46.7,4.4
ZCTA5 15352,6.8,29.6,39.2,24.3
ZCTA5 15353,21.2,23.1,34.6,21.2
ZCTA5 15357,3.3,20.1,39.3,37.3
ZCTA5 15358,0,49.6,22.1,28.3
ZCTA5 15359,21.7,29,33.3,15.9
ZCTA5 15360,1,18.4,48.6,31.9
ZCTA5 15361,0,9.2,28.6,62.2
ZCTA5 15362,0,32.8,23.7,43.5
ZCTA5 15363,7.4,38.9,35.4,18.3
ZCTA5 15364,0,24.8,47.6,27.6
ZCTA5 15366,0,10.5,23.3,66.3
ZCTA5 15367,0.4,25.5,53.8,20.3
ZCTA5 15368,3.1,27.2,40.5,29.2
ZCTA5 15370,4.6,24.1,39.4,31.9
ZCTA5 15376,2.4,22.4,40.4,34.9
ZCTA5 15377,6.4,11.2,64.8,17.6
ZCTA5 15378,0,0,42.9,57.1
ZCTA5 15379,0,6.7,48.9,44.4
ZCTA5 15380,0,29.6,44.1,26.3
ZCTA5 15401,2,27.4,37.2,33.4
ZCTA5 15410,0,35.2,35,29.8
ZCTA5 15411,0.8,24.3,34.1,40.8
ZCTA5 15412,0,15,48.5,36.5
ZCTA5 15413,0,39,52.5,8.5
ZCTA5 15417,3,24.9,40.6,31.5
ZCTA5 15419,19.3,22.4,30.2,28
ZCTA5 15420,0,64.4,24.8,10.9
ZCTA5 15421,0,0,0,100
ZCTA5 15422,0,29.9,49.5,20.6
ZCTA5 15423,2.7,19.2,45.8,32.3
ZCTA5 15424,0.9,24.7,36.1,38.2
ZCTA5 15425,2.5,26,40.7,30.8
ZCTA5 15427,0.9,19.6,45.5,34
ZCTA5 15428,1.5,23.7,45.3,29.6
ZCTA5 15429,0,13.6,47.9,38.5
ZCTA5 15430,5.9,14.5,42.8,36.8
ZCTA5 15431,4.3,15,48.3,32.4
ZCTA5 15432,2.3,17.6,37,43.1
ZCTA5 15433,0,0,53,47
ZCTA5 15434,0,24.8,31.2,44
ZCTA5 15435,0,25.9,39.8,34.3
ZCTA5 15436,1.7,32.3,40.4,25.5
ZCTA5 15437,15,21.9,38.2,24.9
ZCTA5 15438,0,21.5,44.9,33.6
ZCTA5 15440,0,35.4,55.7,8.9
ZCTA5 15442,4.8,25.3,42,27.9
ZCTA5 15443,0,84.8,15.2,0
ZCTA5 15444,0,10.9,33.3,55.8
ZCTA5 15445,2.2,27.1,38.8,32
ZCTA5 15446,0,30.7,11.4,57.9
ZCTA5 15447,0,0,54.5,45.5
ZCTA5 15448,0,13,87,0
ZCTA5 15449,0,0,61.2,38.8
ZCTA5 15450,0,16.7,54.2,29.2
ZCTA5 15451,0,21.8,33,45.2
ZCTA5 15454,24.6,30.8,23.1,21.5
ZCTA5 15455,10.5,15.1,24.4,50
ZCTA5 15456,2.9,15.8,46.9,34.5
ZCTA5 15458,0,21.6,37.7,40.7
ZCTA5 15459,2.1,26.4,38.3,33.2
ZCTA5 15460,0,37.3,41.2,21.6
ZCTA5 15461,4.2,30,35.8,30
ZCTA5 15462,0,52.8,47.2,0
ZCTA5 15463,0,0,26.2,73.8
ZCTA5 15464,0.5,24.3,43.6,31.5
ZCTA5 15466,0,39.6,36.9,23.5
ZCTA5 15467,0,5.2,39.7,55.2
ZCTA5 15468,0,35.1,39.1,25.8
ZCTA5 15469,1.7,32.9,37.7,27.8
ZCTA5 15470,1.3,23.4,42.5,32.8
ZCTA5 15472,0,0,100,0
ZCTA5 15473,1.9,25.7,36.1,36.4
ZCTA5 15474,6.7,28,39.9,25.4
ZCTA5 15475,4.5,23,30.7,41.8
ZCTA5 15476,0,0,34.1,65.9
ZCTA5 15477,1.3,24.6,38.9,35.2
ZCTA5 15478,1.1,28.5,40,30.4
ZCTA5 15479,0.6,21.9,44.4,33.1
ZCTA5 15480,0,27.1,42.8,30.1
ZCTA5 15482,4.3,13.7,32.9,49.1
ZCTA5 15483,3,27.6,27.1,42.2
ZCTA5 15484,0,39.5,0,60.5
ZCTA5 15486,1.6,15.9,50.9,31.6
ZCTA5 15489,0,18.1,37.3,44.6
ZCTA5 15490,0,14,73.1,12.9
ZCTA5 15492,0,0,86,14
ZCTA5 15501,4.7,23.8,37.6,33.8
ZCTA5 15502,0,0,59,41
ZCTA5 15510,0,0,100,0
ZCTA5 15520,0,18.5,70.4,11.1
ZCTA5 15521,1,30.2,37,31.8
ZCTA5 15522,2,21.2,38.4,38.3
ZCTA5 15530,3.1,25.4,40.2,31.3
ZCTA5 15531,6.5,24.7,39.7,29.1
ZCTA5 15532,6.2,27.7,49.2,16.9
ZCTA5 15533,5.5,30.3,42.7,21.5
ZCTA5 15534,2.7,25.1,43.2,29
ZCTA5 15535,1.7,21,42,35.3
ZCTA5 15536,0.6,19.5,50,29.9
ZCTA5 15537,1.6,22,38.4,38
ZCTA5 15538,0.7,16.2,40.4,42.7
ZCTA5 15539,0,37.9,41.8,20.3
ZCTA5 15540,0,13.6,48.1,38.3
ZCTA5 15541,2.3,24.2,49.1,24.4
ZCTA5 15542,0.2,21.8,47,31
ZCTA5 15544,0,0,78.9,21.1
ZCTA5 15545,2.1,21.2,40.6,36.1
ZCTA5 15546,0,32.1,40.5,27.5
ZCTA5 15547,9.5,25.2,30.5,34.8
ZCTA5 15550,0.4,28.6,38.4,32.6
ZCTA5 15551,0,28.5,32.1,39.4
ZCTA5 15552,3.3,24.2,41,31.5
ZCTA5 15554,1.1,31.4,40.5,27
ZCTA5 15555,11.1,20,55.6,13.3
ZCTA5 15557,1.3,26.5,40.9,31.4
ZCTA5 15558,2.7,29.2,36.4,31.7
ZCTA5 15559,0.6,16.7,54.8,27.9
ZCTA5 15560,0,43.8,27.4,28.8
ZCTA5 15561,0,68.7,16.9,14.5
ZCTA5 15562,0,49.2,27.9,23
ZCTA5 15563,0.6,23.5,35.5,40.5
ZCTA5 15564,0,26.3,21.1,52.6
ZCTA5 15601,3,24.9,37.3,34.8
ZCTA5 15610,0.9,20.5,49,29.7
ZCTA5 15611,23.8,31.5,33.5,11.2
ZCTA5 15612,7.3,16.9,40.4,35.4
ZCTA5 15613,1.4,20.5,42.3,35.8
ZCTA5 15615,0,7.1,72.9,20
ZCTA5 15616,-,-,-,-
ZCTA5 15617,0,25.5,51.8,22.7
ZCTA5 15618,1.5,27.1,37.2,34.2
ZCTA5 15620,2.3,22.2,28.1,47.4
ZCTA5 15621,0,68.6,31.4,0
ZCTA5 15622,0,21.4,33.9,44.7
ZCTA5 15623,0,35.8,40.5,23.7
ZCTA5 15624,0,20.9,69.6,9.5
ZCTA5 15625,0,0,0,100
ZCTA5 15626,3.3,24.3,38.6,33.9
ZCTA5 15627,3.8,22.3,41,32.9
ZCTA5 15628,0,50.8,28.7,20.5
ZCTA5 15629,0,35.6,41,23.4
ZCTA5 15631,2.6,32.7,44,20.7
ZCTA5 15632,1.2,25.6,44.6,28.6
ZCTA5 15633,0,57.4,23.7,18.9
ZCTA5 15634,0,19.5,54.1,26.3
ZCTA5 15635,0,72.8,0,27.2
ZCTA5 15636,0,19.1,55.6,25.3
ZCTA5 15637,0,37.4,26.1,36.5
ZCTA5 15638,0,8.7,58.7,32.7
ZCTA5 15639,1.9,29.6,44.5,24
ZCTA5 15640,0,29.5,45.9,24.6
ZCTA5 15641,8.7,22.5,28.1,40.7
ZCTA5 15642,1.2,24.6,43.4,30.8
ZCTA5 15644,1.9,28,39.8,30.3
ZCTA5 15646,0,9.1,75.8,15.2
ZCTA5 15647,0,35.8,31.2,33
ZCTA5 15650,3.6,23.5,39.4,33.5
ZCTA5 15655,0,38.4,32.3,29.3
ZCTA5 15656,2.3,25.7,41.4,30.6
ZCTA5 15658,1.4,18.7,41.8,38.1
ZCTA5 15660,0,9.2,30.6,60.2
ZCTA5 15661,0,42.6,43.6,13.7
ZCTA5 15662,0,68.8,17,14.3
ZCTA5 15663,2.2,11.9,57.7,28.2
ZCTA5 15665,0,48.5,41.1,10.4
ZCTA5 15666,2.4,25.8,37.8,34
ZCTA5 15668,0.6,21.1,39.8,38.6
ZCTA5 15670,1.1,14.6,57.4,26.9
ZCTA5 15671,0,47.4,35.9,16.7
ZCTA5 15672,2.3,28.9,32.7,36
ZCTA5 15673,1.5,24,38.5,36
ZCTA5 15675,1.3,28.2,47,23.5
ZCTA5 15676,0,27.5,41.2,31.3
ZCTA5 15677,0,17.6,54.1,28.2
ZCTA5 15678,0,25.9,48.6,25.5
ZCTA5 15679,0,22.6,45.2,32.1
ZCTA5 15680,0,8.1,25.8,66.1
ZCTA5 15681,2,26.8,40.1,31
ZCTA5 15683,1.9,22,40.3,35.8
ZCTA5 15684,2,11.9,50.4,35.7
ZCTA5 15686,0,22.3,44.2,33.5
ZCTA5 15687,1.3,22.3,30.4,46
ZCTA5 15688,0,26.3,41.9,31.8
ZCTA5 15689,0,63.9,26.5,9.6
ZCTA5 15690,4.9,24.1,38.3,32.8
ZCTA5 15691,0,0,0,100
ZCTA5 15692,11.4,30.8,40.1,17.7
ZCTA5 15693,0,23.2,53.6,23.2
ZCTA5 15695,0,29,43.2,27.9
ZCTA5 15696,35.9,11.3,32.3,20.5
ZCTA5 15697,4,30.5,39.7,25.8
ZCTA5 15698,0,6,43.7,50.3
ZCTA5 15701,13.9,25.6,32.5,28
ZCTA5 15710,0,32.8,43.1,24.1
ZCTA5 15711,3.7,33,35.6,27.7
ZCTA5 15712,6.8,44.6,28.4,20.3
ZCTA5 15713,57,20.1,22.8,0
ZCTA5 15714,5.8,25.2,34.4,34.6
ZCTA5 15715,5.3,27.7,30.3,36.7
ZCTA5 15716,5.5,37.1,29.5,28
ZCTA5 15717,4.5,21.1,43.9,30.4
ZCTA5 15721,1.2,21.7,42.2,34.9
ZCTA5 15722,2,22.8,45.2,30.1
ZCTA5 15723,0,0,0,100
ZCTA5 15724,0.6,23.1,38.1,38.1
ZCTA5 15725,0.8,23.9,44.2,31.1
ZCTA5 15727,10.7,39.3,27.4,22.6
ZCTA5 15728,2.8,24.2,43.3,29.8
ZCTA5 15729,4.8,21.3,46.5,27.3
ZCTA5 15730,0,0,58.3,41.7
ZCTA5 15731,0,0,47.5,52.5
ZCTA5 15732,1.6,20.4,46,32.1
ZCTA5 15733,0,21.5,15.4,63.1
ZCTA5 15734,0,37,35.4,27.6
ZCTA5 15736,1.7,33.4,30.8,34
ZCTA5 15737,0,36.7,23.3,40
ZCTA5 15738,0,24.2,39.4,36.4
ZCTA5 15739,0,58.7,25.9,15.4
ZCTA5 15741,0,21.4,28.6,50
ZCTA5 15742,0,29.1,36.2,34.7
ZCTA5 15744,0,48.1,40.7,11.1
ZCTA5 15745,0,22.5,71.9,5.6
ZCTA5 15746,0,5.3,49.1,45.6
ZCTA5 15747,1.4,24.5,37.9,36.2
ZCTA5 15748,2.7,27.5,39.2,30.7
ZCTA5 15750,0,32,27.3,40.6
ZCTA5 15752,29.4,70.6,0,0
ZCTA5 15753,1.1,26.6,36.2,36.2
ZCTA5 15754,0,22.9,22.1,55
ZCTA5 15756,0,26.3,31.6,42.1
ZCTA5 15757,2.1,24.6,42.7,30.6
ZCTA5 15759,1.7,28.1,42.8,27.4
ZCTA5 15760,0,24.6,44.6,30.8
ZCTA5 15761,0,22.8,59.6,17.5
ZCTA5 15762,1.2,23.1,36.6,39
ZCTA5 15764,9.8,28.3,21.7,40.2
ZCTA5 15765,0,19.8,48.7,31.5
ZCTA5 15767,3,26.2,41.7,29
ZCTA5 15770,0,6.7,43.3,50
ZCTA5 15771,4.7,17.1,42.1,36.1
ZCTA5 15772,4.8,25.3,35.4,34.5
ZCTA5 15773,0,17,38.5,44.5
ZCTA5 15774,0.8,26.3,46.6,26.3
ZCTA5 15775,11.3,31,28.4,29.3
ZCTA5 15776,12,28,28,32
ZCTA5 15777,0,27.1,35.4,37.5
ZCTA5 15778,1.8,14.5,45.5,38.2
ZCTA5 15779,0,23.8,22.3,54
ZCTA5 15780,0,27.5,29,43.5
ZCTA5 15781,0,39.6,41.7,18.8
ZCTA5 15783,12.8,19.1,46.8,21.3
ZCTA5 15784,0,17.2,37.9,44.8
ZCTA5 15801,3.2,25.9,41.2,29.7
ZCTA5 15821,0,14.8,36.1,49.2
ZCTA5 15823,1.3,29.6,40.9,28.3
ZCTA5 15824,3.4,23.5,39.8,33.2
ZCTA5 15825,5.4,32.1,32.4,30
ZCTA5 15827,0,35.8,49.1,15.1
ZCTA5 15828,0,6.8,43.6,49.6
ZCTA5 15829,2.8,35.4,35.7,26.2
ZCTA5 15832,0,5.6,49.2,45.2
ZCTA5 15834,2.2,18,43.6,36.1
ZCTA5 15840,3.3,18.9,42.3,35.5
ZCTA5 15841,0.7,25,54.6,19.7
ZCTA5 15845,3.5,26.7,40.1,29.7
ZCTA5 15846,0,20.4,54,25.6
ZCTA5 15847,2.1,23.3,30.1,44.5
ZCTA5 15848,5.8,24,39,31.3
ZCTA5 15849,1.5,26,41.2,31.3
ZCTA5 15851,2.1,28.9,38.2,30.8
ZCTA5 15853,11.4,24.3,39.7,24.5
ZCTA5 15856,0,15.5,58.5,26
ZCTA5 15857,2.8,26.3,38.1,32.8
ZCTA5 15860,1.4,18.7,40.5,39.3
ZCTA5 15861,0,16.5,34.1,49.4
ZCTA5 15863,0,20.6,45.1,34.3
ZCTA5 15864,1.8,22.1,45.4,30.6
ZCTA5 15865,5.9,22.7,37.3,34.1
ZCTA5 15866,2.2,21.7,48.9,27.2
ZCTA5 15868,2.8,13.1,31.2,53
ZCTA5 15870,3.4,24.2,39.3,33
ZCTA5 15901,3.7,14.1,46.8,35.4
ZCTA5 15902,4.4,25.7,39.3,30.6
ZCTA5 15904,2.8,20.2,36.7,40.3
ZCTA5 15905,0.8,27,38.7,33.5
ZCTA5 15906,6.5,24.3,34.8,34.5
ZCTA5 15909,1.2,26.1,38.3,34.5
ZCTA5 15920,1.6,15.4,33.9,49.2
ZCTA5 15921,0,0,11.8,88.2
ZCTA5 15922,0,42,23.2,34.8
ZCTA5 15923,0,26.5,38.7,34.8
ZCTA5 15924,0,36.2,31.1,32.7
ZCTA5 15925,2.8,35.2,45.1,16.9
ZCTA5 15926,3.1,16.2,52.8,27.9
ZCTA5 15927,9.2,27.6,38.8,24.4
ZCTA5 15928,0,15.3,22.5,62.2
ZCTA5 15929,0,0,79.2,20.8
ZCTA5 15930,0,49.4,16.5,34.1
ZCTA5 15931,3.2,26.1,39.4,31.2
ZCTA5 15934,0,0,0,100
ZCTA5 15935,2.6,19.4,52.1,25.9
ZCTA5 15936,0,18.1,40.4,41.5
ZCTA5 15937,0,17.7,67.2,15.1
ZCTA5 15938,0.9,18.8,39.5,40.7
ZCTA5 15940,6.7,29.2,40.2,23.9
