,coefs,features
91,-0.26296138335416536,Berlin:SBEH_US_TRINTWW_CB_14062021_not selected
92,-0.11419064250355303,Dublin:SBEH_US_TRINTWW_CB_14062021_Dublin
93,-0.6555198053923819,Gothenburg:SBEH_US_TRINTWW_CB_14062021_Gothenburg
94,0.6675256714629484,Gothenburg:SBEH_US_TRINTWW_CB_14062021_not selected
95,-0.10530627639081216,Madrid:SBEH_US_TRINTWW_CB_14062021_not selected
96,0.12603029481723807,Paris:SBEH_US_TRINTWW_CB_14062021_Paris
97,-0.1140244287466472,Paris:SBEH_US_TRINTWW_CB_14062021_not selected
98,-0.14382066495933485,Vienna:SBEH_US_TRINTWW_CB_14062021_not selected
99,-0.12672947407113874,Mountain or alpine resort:SBEH_WW_DESTTYPE_CB_07062021_Mountain or alpine resort
100,-0.11813109000884245,City or Metropolis:SBEH_WW_DESTTYPE_CB_07062021_City or Metropolis
101,-0.12243650894492246,Hotel:SBEH_WW_STAYTYPE_CB_07062021_Hotel
102,-0.09625200800806784,Airbnb / privately rented accommodations:SBEH_WW_STAYTYPE_CB_07062021_Airbnb / privately rented accommodations
103,0.15514020073306006,Youth hostel:SBEH_WW_STAYTYPE_CB_07062021_Youth hostel
104,-0.15832019996686272,Youth hostel:SBEH_WW_STAYTYPE_CB_07062021_not selected
105,0.07250490247594817,Relative or friend’s house:SBEH_WW_STAYTYPE_CB_07062021_not selected
106,0.08233835165562169,Blogging:LIFE_WW_ACT_CB_L_v1_16072020_TGT_not selected
107,-0.11524317229806591,Boating:LIFE_WW_ACT_CB_L_v1_16072020_TGT_not selected
108,-0.08351256978949266,Celebrities & Interviews:LIFE_WW_ACT_CB_L_v1_16072020_TGT_Celebrities & Interviews
109,0.08065998489512854,Education:LIFE_WW_ACT_CB_L_v1_16072020_TGT_Education
110,0.09923395805822918,Gardening:LIFE_WW_ACT_CB_L_v1_16072020_TGT_Gardening
111,0.1324741170325524,History:LIFE_WW_ACT_CB_L_v1_16072020_TGT_not selected
112,0.08262437610047946,Holiday house/Timeshare:LIFE_WW_ACT_CB_L_v1_16072020_TGT_Holiday house/Timeshare
113,-0.08580437533427428,Holiday house/Timeshare:LIFE_WW_ACT_CB_L_v1_16072020_TGT_not selected
114,0.0834510067348386,Humanities:LIFE_WW_ACT_CB_L_v1_16072020_TGT_Humanities
115,-0.0866310059686315,Humanities:LIFE_WW_ACT_CB_L_v1_16072020_TGT_not selected
116,-0.09542134034684402,Hunting/Fishing:LIFE_WW_ACT_CB_L_v1_16072020_TGT_Hunting/Fishing
117,0.0922413411130484,Hunting/Fishing:LIFE_WW_ACT_CB_L_v1_16072020_TGT_not selected
118,-0.13496697742995312,Interior decorating/Renovating:LIFE_WW_ACT_CB_L_v1_16072020_TGT_Interior decorating/Renovating
119,-0.07887271777385566,News & Current affairs:LIFE_WW_ACT_CB_L_v1_16072020_TGT_News & Current affairs
120,0.13102902146043513,Travelling:LIFE_WW_ACT_CB_L_v1_16072020_TGT_not selected
121,0.12940362069868339,Climate change / global warming:LIFE_US_PAS_CB_L_v2_16072020_TGT_not selected
122,0.10625823333731231,Employment (job creation):LIFE_US_PAS_CB_L_v2_16072020_TGT_Employment (job creation)
123,-0.10943823257110817,Employment (job creation):LIFE_US_PAS_CB_L_v2_16072020_TGT_not selected
124,-0.09151229492154907,Literacy:LIFE_US_PAS_CB_L_v2_16072020_TGT_not selected
125,-0.08538854030352587,Mental health:LIFE_US_PAS_CB_L_v2_16072020_TGT_Mental health
126,-0.08765072497506167,Nature / wildlife preservation:LIFE_US_PAS_CB_L_v2_16072020_TGT_not selected
127,-0.11740197833949982,Poverty and homelessness:LIFE_US_PAS_CB_L_v2_16072020_TGT_Poverty and homelessness
128,-0.1440596009022899,Protection / promotion of art / cultural heritage:LIFE_US_PAS_CB_L_v2_16072020_TGT_Protection / promotion of art / cultural heritage
129,0.14087960166849012,Protection / promotion of art / cultural heritage:LIFE_US_PAS_CB_L_v2_16072020_TGT_not selected
130,-0.07888309890362309,Provision of medical care and medicines:LIFE_US_PAS_CB_L_v2_16072020_TGT_not selected
131,-0.09210427220145782,Sexual orientation-based rights:LIFE_US_PAS_CB_L_v2_16072020_TGT_not selected
132,-0.09073112997472077,University education:LIFE_US_PAS_CB_L_v2_16072020_TGT_University education
133,0.08755113074092902,University education:LIFE_US_PAS_CB_L_v2_16072020_TGT_not selected
134,-0.13809157985699672,Family values:LIFE_US_PAS_CB_L_v2_16072020_TGT_Family values
135,0.09902644124507705,Protecting the Second Amendment (gun rights):LIFE_US_PAS_CB_L_v2_16072020_TGT_Protecting the Second Amendment (gun rights)
136,0.3047475956760685,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_.local events
137,0.9713173950491525,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_3RD WORLD DEVELOPMENT
138,0.9403556052417018,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_ALS Bucket Challenge
139,-0.9206894123262074,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_American Red Cross
140,-1.0862365091922541,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Animal Shelters
141,-0.613388356315091,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Any anti Socialist agenda
142,1.2423870493912275,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Arts
143,-0.605458255084528,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_BATTERED WOMEN AND CHILDREN... HUBBARD HOUSE
144,0.8603990395480149,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Back to school supplies and or Thanksgiving dinners for the needy
145,-0.6262208330517247,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Boy scouts
146,-1.4535959258929372,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Cancer
147,0.5036329058280262,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Charity donations
148,-0.6986517053127285,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Children school
149,-1.0536339177872431,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Children's cancer research
150,-0.4935623265970453,Something else:LIFE_US_PAS_CB_L_v2_16072020_TGT.1_Children's education/ teachers
